thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
10a2o0u,Beginner photographer,6,15,0.2933667053778966,0.0,0.03493146487344297,0.026765299346498465,0.02330317903974632,0.4769546091556549,0.5641744554042816,0.5102277080217997,0.5173614621162415,0.5885008573532104,0.3068479895591736,0.34586116671562195,0.3948597311973572,0.4901820421218872,1,5,0.16666666666666666,0.14046444029857716,1.7917594692280547,0.5377099345963751,0.8333333333333334,1.0,caring,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.0,30.388685760036125,48.0,0.7628958768209906,2.0,1.1666666666666667,1.0,1.0,0.0008337344722046206,0.0024615067522972822,0.0015690056898165494,1.9304923171148403e-06,2.795570026137284e-06,2.475724500072829e-06,5.329630039341282e-05,9.55588766373694e-05,8.657974103698507e-05,3.709815640225619e-05,6.089289308874868e-05,5.766861067968421e-05,0.00017043896029160047,0.00044811671250499785,0.00030082139710430056,0.00010135476501697364,0.00018916754925157875,0.00014242854376789182,0.00019964219110432975,0.0005399067319255361,0.00035308553771074003
115jnmb,Canon T7 Bundle Questions,9,36,0.30037227604124284,0.0,0.04227865635485074,0.023197641880728734,0.01661394746490484,0.40767380057109726,0.5350923107730018,0.4550734791490767,0.46014460921287537,0.5588194131851196,0.26179516315460205,0.22627855837345123,0.4840029180049896,0.5148613452911377,0,9,0.0,0.028187081010805234,1.3689223607402194,0.4108158297487698,0.5555555555555556,0.875,neutral,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.5555555555555556,80.18928224927768,127.0,0.7557105133439781,3.0,1.6666666666666667,1.0,1.3333333333333333,0.14374919837508868,0.9817622900009155,0.4397463321685792,8.88397186018766e-06,4.2736221075756475e-05,2.2288898617262023e-05,0.0009634951143703398,0.006587221287190914,0.002002880536019803,5.025601725113423e-05,0.00014330413250718266,9.296952339354904e-05,0.13449297297645696,0.9717929363250732,0.3841162204742433,0.00025712604433970735,0.0011495364597067237,0.0005609051790088416,0.0465869887498945,0.32595793308125093,0.13832997539054004
12jtccm,Good camera for photography and a bit of video recording under 400$?,3,3,0.2842884659767151,0.0,0.03926593261502404,0.021124498679877608,0.01555387691657459,0.47984832525253296,0.49373288949330646,0.48239540060361225,0.4343967139720917,0.5929300785064697,0.27891218662261963,0.05838713049888611,0.27891218662261963,0.603644847869873,0,3,0.0,0.02103598105410735,1.0986122886681096,0.32969533691986563,0.6666666666666666,1.0,admiration,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,36.72419729097788,42.5,0.4270255498950916,1.0,1.0,0.0,0.0,0.0013791505092134078,0.002864660695195198,0.002420416660606861,3.33285591599027e-06,4.8407696340291295e-06,4.41069719272491e-06,0.00015898321726126596,0.0003372312639839947,0.0002845328403054737,3.838536940747872e-05,4.426654413691722e-05,4.2959556594723836e-05,0.00021295993307527775,0.00041937752394005656,0.0003583148529287428,0.00011337826678451772,0.00015980172611307353,0.0001470290299039334,0.0003176983586096564,0.0006383630871672116,0.0005422452857677248
14rphqc,Canon rebel T7,9,36,0.308931440114975,0.1111111111111111,0.04772551342141624,0.028922942336913393,0.022505444356925718,0.5418321490287781,0.5158702971206771,0.5220048510366015,0.5394615232944489,0.6155062317848206,0.3114219903945923,0.30339327454566956,0.5828514099121094,0.6134238243103027,0,9,0.0,0.022650145615140598,1.0027182645175161,0.3009173841088146,0.4444444444444444,0.625,neutral,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5555555555555556,30.413609689101154,42.0,0.5836300366778473,1.0,1.0,0.0,0.0,0.15398438086978988,0.8537542223930359,0.3909414649009706,0.00016305713692569648,0.001385275274515152,0.0003261856501922014,0.08011793137080127,0.7112267017364502,0.14807832539081586,0.0001090157384169288,0.0005513258511200547,0.00025325897149741655,0.05450883251210649,0.2149234116077423,0.1939083516597748,0.0009732336410605866,0.0055524492636322975,0.002641971036791802,0.048309408544850135,0.29291441056799766,0.12432260727194569
15qszk3,Help me choose a B-Day gift for my SO!,14,91,0.3140782671315329,0.07142857142857142,0.04959919423423064,0.03643161432284632,0.030771255168001607,0.47101408849050713,0.4750743534538772,0.45626071357465053,0.46534082293510437,0.7487196326255798,0.17866000533103943,0.12444227188825607,0.5634488463401794,0.4828059673309326,0,14,0.0,0.040600161999464035,1.4377014436429414,0.4314565445346416,0.8571428571428571,0.7692307692307693,neutral,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.42857142857142855,28.18678587493054,44.5,0.7814158460376783,5.0,2.142857142857143,1.0,1.6875,0.0047854700553995955,0.05408897623419762,0.002658623596653341,5.2945236705324665e-06,3.8876129110576585e-05,1.1901871675945576e-05,0.00198531016225648,0.0270172581076622,0.00018026455218205222,5.3900094566675504e-05,0.0002978550910484046,8.823437237879258e-05,0.000600065789123099,0.005575267598032951,0.0005291872163070365,0.00020052880998784012,0.00113751832395792,0.00040969106048578365,0.0012717615725007035,0.014591497362440956,0.0007130104287701515
15t8fv9,Best beginner camera,9,36,0.3090967469745212,0.1111111111111111,0.05563175370428778,0.03936734460226174,0.032783085542088135,0.5144641598065695,0.5642400251494514,0.5333561350901922,0.5277757942676544,0.6697287559509277,0.3171912729740143,0.35641226172447205,0.5744921565055847,0.5775824785232544,2,7,0.2222222222222222,0.23046745484073958,1.6769877743224173,0.5032667620494407,1.0,1.0,admiration,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,25.45341908683147,55.0,0.6858705741960576,6.0,4.0,1.3333333333333333,2.7222222222222223,0.09030026155717981,0.8067166805267334,0.16309619266539827,3.304562072672626e-05,0.00028023740742355585,5.920930379943461e-05,0.025001841090367332,0.22453640401363373,0.04505276734707881,5.090406476584677e-05,0.00013516252511180937,0.00012069345684722066,0.06009089016960287,0.5395084023475647,0.10835633962415168,0.000249710258988974,0.0014105290174484253,0.00046267993748188045,0.02928777546027193,0.2620979026396526,0.052857980389126216
1dq9wx8,Good Starter Camera?,17,136,0.30717748228241415,0.0,0.04319836287582746,0.03045385038604207,0.026085776864474188,0.486381666844382,0.5220090628546827,0.4981491745394819,0.5069386959075928,0.6141487956047058,0.30384865403175354,0.2995151877403259,0.6179125905036926,0.5011414289474487,4,13,0.23529411764705882,0.25600762895363216,1.804938433146752,0.5416649631303243,1.0,0.875,neutral,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.4117647058823529,29.976923073508015,29.0,0.7280109889280517,5.0,2.0588235294117645,1.1111111111111112,2.0,0.038003757505280455,0.439711332321167,0.08789364472031598,5.347853088471097e-06,4.571600948111154e-05,9.874781062535477e-06,0.0010501489351179985,0.013563157059252262,0.0018048196565359832,3.97865708638325e-05,0.00012141121260356158,8.015958301257342e-05,0.0241141747627647,0.2778201699256897,0.05398096814751629,0.00023260739116641858,0.0015128497034311295,0.0006309475633315743,0.010574303836380318,0.12212910603860412,0.024083379261780176
1dt73cm,need camera advice - filming softball games,7,21,0.30341980712754385,0.0,0.050303881990835866,0.04100487775202433,0.03764414476075295,0.44795622144426617,0.4922358478818621,0.4665370924132211,0.46184155344963074,0.5765656232833862,0.22346074879169464,0.20468664169311523,0.41028013825416565,0.4893331825733185,2,5,0.2857142857142857,0.2603877519390413,0.7963116401738131,0.23897442000999627,0.8571428571428571,0.6666666666666666,neutral,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,47.46083240151712,8.5,1.2350402483666165,4.0,2.2857142857142856,1.0,1.5555555555555556,0.00047021042389263,0.0005587693303823471,0.0005401607370004058,1.4834653906551206e-06,1.9280812466604402e-06,1.6749481801525692e-06,2.9212916550542495e-05,4.230926060699858e-05,3.374744337634184e-05,2.626335663080681e-05,5.176439299248159e-05,3.938543959520758e-05,0.00010929370806219854,0.00011888927838299423,0.00011720507463905961,8.7423125348453e-05,0.00011185117909917608,0.0001023077013087459,0.00012064783264588101,0.0001429055591491609,0.000137178491998687
1ebkthb,How many cameras do you own?,197,19306,0.3035684916161999,0.041237113402061855,0.04402037305652252,0.03288535707953618,0.02924253574067153,0.49693517544291665,0.47675623232609715,0.48170397381723623,0.4908744990825653,0.8143852949142456,0.3185158371925354,0.3164663016796112,0.8259590864181519,0.5917222499847412,44,153,0.2233502538071066,0.2755784771977191,1.6684344867689251,0.5006999065256054,0.9187817258883249,0.5612244897959183,neutral,0.5989847715736041,0.39593908629441626,0.02030456852791878,0.29441624365482233,0.2893401015228426,42.08312438660628,49.0,0.9876549325901164,9.0,1.6598984771573604,1.4545454545454546,3.5830388692579507,0.02876292462835944,0.9870702028274536,0.006185803562402746,0.0002330438125098106,0.043491851538419724,1.0599261077004489e-05,0.010662678193996722,0.9595233798027039,0.00037293299683369716,0.0003880972065135534,0.05770716443657875,9.937377326423304e-05,0.01673618260682986,0.9755454659461975,0.0005980505840852857,0.0003693017417464233,0.022540448233485222,0.00031861554016359155,0.009525371364992635,0.40885999787133187,0.0014684201829065116
1f2ra89,I have a Canon EOS Rebel T7 DSLR - commercial fashion/store photography? ,6,15,0.3044460465510686,0.0,0.04321427472319196,0.02950221464998253,0.024176764504913552,0.501962258418401,0.5498889764149983,0.5206563313802083,0.5131853222846985,0.5783698558807373,0.3078850507736206,0.28151947259902954,0.40860071778297424,0.5247439742088318,0,6,0.0,0.02902698889374733,1.5607104090414063,0.4683717353708719,0.6666666666666666,0.8,neutral,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.5,31.68289058080963,45.5,0.7228035873948965,3.0,2.0,1.0,1.3333333333333333,0.0006317150643250594,0.001002534874714911,0.0009134982828982174,2.0761882334833595e-06,3.3555841127963504e-06,2.8759426413671463e-06,4.8125909718995295e-05,7.933752203825861e-05,6.582495916518383e-05,3.826230749837123e-05,8.448275912087411e-05,7.008666761976201e-05,0.00011874590200022794,0.00017405935795977712,0.00015523808542639017,9.154625513474457e-05,0.00011838787759188563,0.00011713343701558188,0.00015507860448514698,0.0002375324296887508,0.00021790501943996787
