thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
14sk3f1,About to buy an A7iv is this a good deal? And would y’all trust eBay sellers?,9,36,0.30590010682741803,0.1111111111111111,0.04518205272839809,0.03900885834446292,0.0374317805755286,0.4705337865485085,0.5608649113112025,0.5083286033736335,0.5114889442920685,0.5822641253471375,0.3799210786819458,0.38112103939056396,0.5656719207763672,0.6022300720214844,1,8,0.1111111111111111,0.1359611064609554,1.2730283365896258,0.38203787693771873,0.8888888888888888,0.75,neutral,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5555555555555556,41.41151506823813,18.0,1.19840397303583,1.0,1.0,0.0,0.0,0.0008362326027256333,0.0023088688030838966,0.0014207832515239717,1.6869239769019057e-06,2.2913955035619438e-06,2.08158580790041e-06,4.427455132827163e-05,6.637352635152638e-05,6.471817032434046e-05,4.3130461765233325e-05,0.00013267112080939114,6.650909199379386e-05,0.0001829289790799117,0.0003709862648975104,0.00029892133898101747,0.00011770743569488534,0.0002079278783639893,0.00018564160855021327,0.0002043268257618062,0.0005148094544817164,0.0003379083301524588
158saoq,Looking at getting a Sony Alpha 7 IV with the Sigma 24-70 F2.8 lens for personal use and side freelance jobs. Is it too much?,5,10,0.301019050180912,0.0,0.06531217882447474,0.03535123180981072,0.02576406155408273,0.5457711517810822,0.49664835929870604,0.5188847690820694,0.5154367089271545,0.5606951117515564,0.21785783767700195,0.24228839576244354,0.21785783767700195,0.32870805263519287,0,5,0.0,0.024342470988631248,1.3321790402101223,0.399789099421175,1.2,1.0,neutral,0.4,0.2,0.4,0.0,0.4,31.230754073509015,38.0,0.4606305910547053,2.0,1.4,1.0,1.0,0.0005978854547720403,0.0007886802777647972,0.0007450863718986511,1.8029149487119866e-06,2.18195737033966e-06,2.071308472295641e-06,5.176695776754059e-05,9.502854663878679e-05,7.654816727153957e-05,3.3631215410423464e-05,4.3088974052807316e-05,4.187744125374593e-05,0.00012405684246914462,0.00015320582315325737,0.00014602445298805833,7.702640868956223e-05,8.546548633603379e-05,8.276315202238038e-05,0.00014769496567623716,0.00019259147840481697,0.00018064348795026794
173zelu,Which online company to buy a camera from?!,2,1,0.2896304130554199,0.0,0.06369833882322395,0.037854852496399895,0.024634911975891717,0.5159607529640198,0.5856608152389526,0.5486057996749878,0.5486057996749878,0.5486057996749878,0.1256708800792694,0.1256708800792694,0.1256708800792694,0.1256708800792694,0,2,0.0,0.023055734112858772,0.6931471805599453,0.20801459767650946,1.0,1.0,neutral,0.5,0.5,0.5,0.0,0.0,33.5,33.5,0.5537190082644629,1.0,1.0,0.0,0.0,0.00045453000348061323,0.0004727786872535944,0.00046912895049899817,1.2997219300814322e-06,1.40515055591095e-06,1.3840648307450465e-06,3.042674870812334e-05,3.227779234293848e-05,3.190758361597545e-05,2.086598215100821e-05,2.1900375941186212e-05,2.169349718315061e-05,0.00011766468378482386,0.00012651582073885947,0.00012474559334805236,6.968043453525752e-05,7.20152966096066e-05,7.154832419473678e-05,0.00011574459576498461,0.00011937361119862544,0.00011864780811189727
1chyeyc,"Sony a7 IV Mirrorless Camera with 28-70mm Lens: 33MP Full-Frame Exmor R CMOS Sensor, 4K 60p Video in 10-Bit, S-Cinetone, 3.68m-Dot EVF with 120 fps Refresh Rate - for $2,286.00 after $412.99 off",1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.12881381809711456,-0.0,0.0,1.0,0.0,gratitude,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004466032260097563,0.0004466032260097563,0.0004466032260097563,1.1377121609257301e-06,1.1377121609257301e-06,1.1377121609257301e-06,2.0151532226009294e-05,2.0151532226009294e-05,2.0151532226009294e-05,2.019674502662383e-05,2.019674502662383e-05,2.019674502662383e-05,0.0001168455564766191,0.0001168455564766191,0.0001168455564766191,8.036663348320872e-05,8.036663348320872e-05,8.036663348320872e-05,0.0001142169008971905,0.0001142169008971905,0.0001142169008971905
1d909mx,"I'm looking for a hybrid camera that can produce high-quality videos and photos in various situations such as concerts, weddings, night shoots, and more. I've narrowed my choices down to the Lumix S5 II and the Sony A7 IV. What are your thoughts on these cameras? Are there any better suggestions wit",9,36,0.29713769753774005,0.0,0.0559722289186994,0.04935548184748535,0.04689448965417856,0.4340549757083257,0.4580244653754764,0.4396021034982469,0.4317137897014618,0.8611538410186768,0.10543207079172134,0.03198862075805664,0.33175477385520935,0.3292871117591858,2,7,0.2222222222222222,0.1525756756050719,0.6837389058487535,0.20519115911430155,1.1111111111111112,0.25,neutral,0.7777777777777778,0.2222222222222222,0.0,0.1111111111111111,0.6666666666666666,24.98345131294259,23.0,0.8266583155017769,4.0,1.8888888888888888,1.0,1.5,0.004210203934538488,0.023405715823173523,0.012056112289428714,2.909288531959141e-06,7.063442353683058e-06,5.355975554266479e-06,0.00019436622662599094,0.0009475453989580274,0.0004965738160535695,4.3576497167426474e-05,0.00012056349078193307,7.004537037573756e-05,0.0008996453834697604,0.004292581230401993,0.0030614815652370455,0.0001708535896290818,0.0005113068618811667,0.0003553085844032467,0.000920259153327118,0.004880796041258388,0.0026741462668420967
1dhstxp,Sony a7 IV Mirrorless to Canon…?,3,3,0.3009691337744395,0.0,0.04271768755550811,0.034402551025353605,0.0311968012965777,0.4885888695716858,0.47719935576121014,0.48228097955385846,0.4518970847129822,0.5506545305252075,0.34371933341026306,0.4175885021686554,0.34371933341026306,0.4228949546813965,0,3,0.0,0.02993276963631312,-0.0,0.0,1.0,0.0,neutral,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,8.055363982396381,9.0,0.24166091947189142,2.0,1.3333333333333333,1.0,1.0,0.005643871486730252,0.01588304527103901,0.01282113252673298,5.413959987284518e-06,1.1912427908100653e-05,1.0075262889586156e-05,0.00012381098592110598,0.0002604549808893353,0.00022377436835085973,0.0026229513872143193,0.007818866521120071,0.006260684922381188,0.00024058132597322887,0.0005278717144392431,0.0004423156889970415,0.0002858432296003836,0.0007045821403153241,0.0005790678987978027,0.0014870787292377624,0.0042011221759518476,0.003389298080992376
1ezwcyn,Sony A7 mirrorless - Good camera? ,7,21,0.30310759374073576,0.0,0.05093157815279854,0.037488590117445646,0.03298951451865452,0.5313053116911933,0.5082537219637916,0.5123409018630073,0.526335597038269,0.5907893180847168,0.4168696701526642,0.38355711102485657,0.5997770428657532,0.655928373336792,0,7,0.0,0.02862624983702387,1.15374194270109,0.3462398358738274,0.8571428571428571,0.6666666666666666,neutral,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,22.996006751838728,35.5,0.7776427404003434,3.0,1.5714285714285714,1.0,1.25,0.0007753113708791456,0.0019179562805220485,0.0014634306076914076,2.4862020252060446e-06,6.375362318067346e-06,4.297524128560327e-06,7.134743438135567e-05,0.00023249522200785577,0.00014635737170465296,3.761946832777799e-05,9.140025213127956e-05,6.885042021167467e-05,0.00011104003767416413,0.00017508422024548054,0.00013699079281650486,0.00010289031654662852,0.0001853285648394376,0.00015940127777867022,0.000183449138305713,0.00042206109128528624,0.0003311520133365776
1gu09yt,Does anyone use two cameras brands? Why?,103,5253,0.30267810260895456,0.04950495049504951,0.04868405681405636,0.033461889652920525,0.02843146721539946,0.5060947496034793,0.5149366557853416,0.5052311697982956,0.5111247301101685,0.824838399887085,0.3598032593727112,0.36775854229927063,0.7916310429573059,0.5888543128967285,14,89,0.13592233009708737,0.17550451319339205,1.8931802744398774,0.5681464834042662,0.8252427184466019,0.7254901960784313,neutral,0.47572815533980584,0.5048543689320388,0.019417475728155338,0.2621359223300971,0.21359223300970873,55.214272540413205,51.5,1.0773006386934192,4.0,1.3300970873786409,1.0476190476190477,1.4285714285714286,0.03742540968006739,0.9942432045936584,0.0016584775177761913,7.328332507649004e-05,0.005248307716101408,4.859644286625552e-06,0.01619827073308734,0.829681396484375,0.00018881022406276314,5.233450713259444e-05,0.00033402658300474286,0.00014635277620982378,0.025129320350864414,0.9906384944915771,0.0003122286463622002,0.0003216229448404651,0.0077484725043177605,0.0001881349191535264,0.013200040256844788,0.38348531192362617,0.00038085737767990695
1h00mhp,"I dont know anything about lenses,  the camera sony bundles i see either have a 28-70mm  lens or a 50 mm f1.8 prime lens , which is better. ",17,136,0.3236134694172786,0.3076923076923077,0.06800328881628082,0.06220089704306013,0.06393890300907837,0.45140602461555424,0.42739954021047144,0.4292996681350119,0.42354506254196167,0.6537899374961853,0.15065765380859375,0.1255449652671814,0.6025352478027344,0.3691823184490204,1,16,0.058823529411764705,0.0997531876406249,1.2341113432738555,0.3703588238673164,0.9411764705882353,0.5625,neutral,0.5882352941176471,0.23529411764705882,0.0,0.47058823529411764,0.29411764705882354,35.318618946536645,58.0,1.04967923442504,7.0,3.1176470588235294,1.1818181818181819,2.35,0.000758674884256085,0.004339743871241808,0.0010197336203418674,1.583120853651695e-06,2.7470891836856026e-06,2.120271346939262e-06,4.553049909779528e-05,0.00015413569053635,9.800434927456083e-05,2.6236654615358394e-05,5.392822276917286e-05,3.971175392507576e-05,0.00019325003086123616,0.0013789403019472957,0.0001860409392975271,8.769344982711653e-05,0.00016803138714749366,9.824246808420867e-05,0.00018549477325187382,0.0010133810064113884,0.00023856612265262813
1j6hpj0,Strange green lines with camera lens on Sony camera when I zoom in on photo? How to get rid of them,15,105,0.31521281812872204,0.21428571428571427,0.06039151987093297,0.05385800403867916,0.052974637992090394,0.5157509366671245,0.47742326912425814,0.49195459541820347,0.4949161112308502,0.6559940576553345,0.26933085918426514,0.23923443257808685,0.5803171396255493,0.48041242361068726,3,12,0.2,0.24656285370389622,1.6792043316027068,0.50393195449892,0.8666666666666667,0.8571428571428571,neutral,0.4,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.4666666666666667,23.290818410314017,16.5,1.0716634237874547,10.0,6.0,1.0833333333333333,4.1208791208791204,0.0572497105516959,0.7532299160957336,0.05823931023478505,5.002845712927713e-06,2.6355553927714936e-05,1.5047572378534824e-05,0.000406584936111661,0.005031759385019541,0.0003472722950391471,0.004248086362107036,0.05824526399374008,0.0030846207024296727,0.04230757660601133,0.6317395567893982,0.0009060572716407474,0.00026158247152731443,0.002335401251912117,0.00024985850905068213,0.01741309062886103,0.23171328784216408,0.01633590965520852
